"GEOID","NAME","POPW_E","POPW_M","W0_E","W0_M","W1_E","W1_M","W2_E","W2_M","W3_E","W3_M","OCCP_E","OCCP_M","OCCP_1_E","OCCP_1_M","OCCP_2_E","OCCP_2_M","OCCP_3_E","OCCP_3_M","OCCP_4_E","OCCP_4_M","OCCP_5_E","OCCP_5_M","OCCP_6_E","OCCP_6_M"
"41005020505","Census Tract 205.05; Clackamas County; Oregon",1158,123,549,97,308,90,276,89,25,27,976,168,546,111,31,32,268,108,89,56,42,37,0,13
"41005020506","Census Tract 205.06; Clackamas County; Oregon",1301,102,472,123,484,146,320,111,25,29,1219,213,808,189,149,84,168,80,43,41,51,52,0,13
"41005020507","Census Tract 205.07; Clackamas County; Oregon",1369,203,314,165,525,167,443,104,87,58,1786,263,1065,196,299,170,329,150,10,19,83,59,0,13
"41005020601","Census Tract 206.01; Clackamas County; Oregon",1258,208,445,159,476,162,261,88,76,64,1200,298,730,183,97,83,218,118,30,31,125,86,0,13
"41005020602","Census Tract 206.02; Clackamas County; Oregon",1889,172,414,140,786,169,489,144,200,99,2489,322,1378,256,233,129,632,213,170,106,76,72,0,19
"41005020700","Census Tract 207; Clackamas County; Oregon",1458,135,327,96,547,128,510,95,74,40,1861,202,1044,184,184,74,406,115,51,32,176,85,0,13
"41005020800","Census Tract 208; Clackamas County; Oregon",2059,155,495,100,1019,176,382,111,163,97,2383,324,975,192,429,123,487,152,290,192,202,96,0,13
"41005020900","Census Tract 209; Clackamas County; Oregon",1672,225,472,109,542,215,472,100,186,86,2214,302,930,177,256,96,586,236,243,104,199,87,0,13
"41005021000","Census Tract 210; Clackamas County; Oregon",2103,334,414,105,817,311,701,139,171,54,2957,460,1357,392,485,171,643,186,134,85,338,114,0,13
"41005021100","Census Tract 211; Clackamas County; Oregon",2239,217,483,121,867,186,784,209,105,83,2778,389,1225,279,351,153,624,209,260,193,318,189,0,19
"41005021200","Census Tract 212; Clackamas County; Oregon",1798,235,676,144,658,222,350,132,114,75,1711,304,623,150,376,189,303,119,130,70,279,139,0,13
"41005021300","Census Tract 213; Clackamas County; Oregon",2544,211,786,200,793,196,555,158,410,176,3268,552,1137,251,647,322,761,228,264,144,459,191,0,19
"41005021400","Census Tract 214; Clackamas County; Oregon",1978,226,586,215,629,176,548,135,215,115,2431,348,1271,288,332,185,471,223,152,80,205,100,0,19
"41005021500","Census Tract 215; Clackamas County; Oregon",2062,213,786,206,511,149,605,168,160,99,2428,469,1173,332,258,129,434,145,195,118,368,177,0,19
"41005021601","Census Tract 216.01; Clackamas County; Oregon",2576,283,712,284,750,191,808,199,306,175,3549,585,1301,408,660,240,750,222,267,158,571,175,0,19
"41005021602","Census Tract 216.02; Clackamas County; Oregon",2129,219,483,115,793,196,700,167,153,89,2695,361,1043,212,494,235,659,212,137,80,362,105,0,13
"41005021700","Census Tract 217; Clackamas County; Oregon",2774,341,842,278,925,252,943,162,64,55,3193,356,1295,296,420,166,622,192,211,104,645,237,0,19
"41005021801","Census Tract 218.01; Clackamas County; Oregon",1953,224,551,175,556,184,658,182,188,77,2640,406,1168,298,341,130,646,209,97,59,388,179,0,19
"41005021802","Census Tract 218.02; Clackamas County; Oregon",2008,203,733,167,569,138,654,160,52,44,2133,321,750,194,459,177,449,155,155,91,320,129,0,13
"41005021900","Census Tract 219; Clackamas County; Oregon",1516,234,452,218,565,149,420,135,79,47,1669,290,560,161,223,97,510,162,237,102,139,56,0,13
"41005022000","Census Tract 220; Clackamas County; Oregon",2693,303,715,226,940,266,684,164,354,146,3363,380,1197,282,403,158,771,214,395,148,597,220,0,19
"41005022101","Census Tract 221.01; Clackamas County; Oregon",2533,266,822,216,771,175,719,170,221,94,3178,429,1050,236,540,195,1026,283,248,108,314,112,0,19
"41005022105","Census Tract 221.05; Clackamas County; Oregon",2488,390,755,360,671,181,865,197,197,86,3104,420,1151,266,435,187,852,238,73,70,593,275,0,19
"41005022107","Census Tract 221.07; Clackamas County; Oregon",1885,279,532,237,626,181,642,152,85,60,2289,391,615,161,448,171,635,230,162,92,429,179,0,13
"41005022108","Census Tract 221.08; Clackamas County; Oregon",1357,134,254,107,525,157,542,148,36,42,1966,413,466,144,375,167,440,195,266,115,419,171,0,13
"41005022109","Census Tract 221.09; Clackamas County; Oregon",1253,130,387,134,469,118,254,127,143,113,1330,292,578,163,262,123,325,123,63,90,102,80,0,13
"41005022110","Census Tract 221.10; Clackamas County; Oregon",1786,290,348,163,496,157,827,288,115,70,2494,527,1085,215,236,123,637,507,119,86,389,178,28,43
"41005022201","Census Tract 222.01; Clackamas County; Oregon",2648,439,1131,359,996,305,318,121,203,121,2388,488,683,273,647,273,332,170,154,117,572,213,0,19
"41005022205","Census Tract 222.05; Clackamas County; Oregon",1605,172,528,154,505,116,458,105,114,53,1914,286,1143,203,249,115,340,115,66,36,116,79,0,13
"41005022206","Census Tract 222.06; Clackamas County; Oregon",2473,260,506,255,987,241,758,157,222,100,3537,388,1749,315,377,169,842,231,135,92,434,186,0,19
"41005022207","Census Tract 222.07; Clackamas County; Oregon",2238,217,313,101,749,217,1016,162,160,70,3346,331,2006,244,380,119,554,139,125,69,281,133,0,19
"41005022208","Census Tract 222.08; Clackamas County; Oregon",2901,329,446,229,1204,277,976,197,275,122,4312,453,2262,276,467,193,844,242,337,184,375,166,27,43
"41005022301","Census Tract 223.01; Clackamas County; Oregon",1799,238,634,207,643,164,409,102,113,57,1957,293,882,203,343,136,288,92,170,82,274,116,0,13
"41005022302","Census Tract 223.02; Clackamas County; Oregon",2154,203,513,115,596,192,909,181,136,79,3115,407,1078,244,536,170,582,144,345,158,574,254,0,19
"41005022400","Census Tract 224; Clackamas County; Oregon",1787,263,469,189,657,220,577,144,84,54,2192,322,921,257,515,206,399,124,138,60,219,87,0,13
"41005022501","Census Tract 225.01; Clackamas County; Oregon",1213,199,223,67,425,118,496,191,69,55,1649,348,601,195,276,104,431,166,141,79,200,95,0,13
"41005022502","Census Tract 225.02; Clackamas County; Oregon",1722,185,337,126,594,162,563,131,228,170,2504,544,1026,364,290,132,524,223,241,148,423,234,0,13
"41005022602","Census Tract 226.02; Clackamas County; Oregon",1681,133,409,77,490,120,686,112,96,50,2306,295,1112,262,268,112,515,128,188,92,223,96,0,13
"41005022603","Census Tract 226.03; Clackamas County; Oregon",1379,107,313,110,395,137,553,136,118,55,1919,250,569,142,361,106,469,144,208,120,312,139,0,13
"41005022605","Census Tract 226.05; Clackamas County; Oregon",2807,278,537,148,1122,238,760,231,388,232,3996,734,1262,326,520,184,963,316,840,635,411,145,0,19
"41005022606","Census Tract 226.06; Clackamas County; Oregon",2072,174,411,134,598,170,997,204,66,43,2795,365,1145,301,316,111,667,180,480,184,187,83,0,19
"41005022702","Census Tract 227.02; Clackamas County; Oregon",2507,243,543,186,1237,235,609,216,118,63,2912,479,1866,354,168,88,640,218,100,85,138,94,0,19
"41005022707","Census Tract 227.07; Clackamas County; Oregon",3106,280,504,170,1317,283,1072,225,213,141,4229,525,2067,430,524,185,872,279,334,168,432,213,0,19
"41005022708","Census Tract 227.08; Clackamas County; Oregon",1440,136,234,72,498,128,544,136,164,99,2576,558,1207,297,502,307,437,129,214,100,216,122,0,13
"41005022710","Census Tract 227.10; Clackamas County; Oregon",1269,174,318,163,576,148,362,97,13,20,1364,202,785,208,127,88,233,107,23,28,196,102,0,13
"41005022800","Census Tract 228; Clackamas County; Oregon",1996,205,1136,160,449,174,326,100,85,50,1382,281,468,191,151,83,447,199,175,133,141,99,0,13
"41005022901","Census Tract 229.01; Clackamas County; Oregon",1691,208,403,102,476,127,592,121,220,167,2461,510,842,209,375,164,611,162,335,184,298,214,0,13
"41005022904","Census Tract 229.04; Clackamas County; Oregon",1600,208,370,76,622,215,475,130,133,92,2069,341,534,126,390,223,582,235,370,158,193,90,0,13
"41005022905","Census Tract 229.05; Clackamas County; Oregon",1638,182,499,84,549,173,391,121,199,79,2045,249,697,151,315,108,414,145,246,126,373,177,0,13
"41005022906","Census Tract 229.06; Clackamas County; Oregon",1296,226,605,109,201,83,370,232,120,51,1413,418,567,388,164,63,232,91,162,133,288,102,0,13
"41005022907","Census Tract 229.07; Clackamas County; Oregon",1227,147,317,108,466,147,317,108,127,67,1651,285,464,151,250,93,485,140,278,149,174,111,0,13
"41005023001","Census Tract 230.01; Clackamas County; Oregon",1165,130,259,78,379,108,394,111,133,89,1716,353,543,149,298,156,348,129,211,105,316,146,0,13
"41005023002","Census Tract 230.02; Clackamas County; Oregon",1356,154,294,73,541,115,470,149,51,53,1670,276,791,210,275,114,358,135,88,64,158,73,0,13
"41005023100","Census Tract 231; Clackamas County; Oregon",2252,248,737,229,608,195,744,165,163,90,2667,336,1113,294,368,118,594,178,354,172,238,104,0,19
"41005023201","Census Tract 232.01; Clackamas County; Oregon",1495,147,478,123,401,98,479,114,137,63,1877,287,850,172,303,109,358,123,229,104,137,81,0,13
"41005023202","Census Tract 232.02; Clackamas County; Oregon",2884,356,554,117,761,309,1265,249,304,100,4529,603,1819,402,668,249,1054,320,521,180,467,159,0,19
"41005023300","Census Tract 233; Clackamas County; Oregon",1862,201,475,138,530,183,702,141,155,59,2627,283,1011,188,315,153,585,163,423,156,293,116,0,19
"41005023401","Census Tract 234.01; Clackamas County; Oregon",1736,219,362,94,698,217,511,199,165,68,2326,368,767,206,227,108,678,224,256,123,398,170,0,13
"41005023403","Census Tract 234.03; Clackamas County; Oregon",2139,237,399,111,809,322,740,222,191,118,3074,436,1040,296,520,237,652,231,303,143,559,340,0,19
"41005023404","Census Tract 234.04; Clackamas County; Oregon",2385,282,683,169,807,218,721,223,174,86,3109,543,835,272,479,177,697,254,360,175,738,388,0,19
"41005023500","Census Tract 235; Clackamas County; Oregon",2006,260,571,160,717,216,445,189,273,140,2572,472,700,279,267,139,607,227,642,327,356,130,0,19
"41005023600","Census Tract 236; Clackamas County; Oregon",1579,214,509,136,754,186,244,95,72,63,1528,323,689,199,144,70,310,106,179,93,206,157,0,13
"41005023700","Census Tract 237; Clackamas County; Oregon",1692,165,423,102,536,127,610,128,123,104,2395,600,1086,514,417,164,395,119,303,131,194,83,0,19
"41005023800","Census Tract 238; Clackamas County; Oregon",2171,173,556,128,674,143,618,189,323,157,3107,505,1141,337,544,240,361,135,818,268,243,118,0,19
"41005023901","Census Tract 239.01; Clackamas County; Oregon",2193,303,441,148,810,262,807,210,135,114,2889,465,986,268,378,150,598,301,326,146,601,161,0,19
"41005023902","Census Tract 239.02; Clackamas County; Oregon",2085,245,442,160,823,248,521,252,299,174,3085,756,696,231,471,219,838,387,601,324,479,229,0,19
"41005024000","Census Tract 240; Clackamas County; Oregon",898,120,311,107,250,83,313,92,24,27,976,180,326,94,116,66,257,116,101,54,176,70,0,13
"41005024100","Census Tract 241; Clackamas County; Oregon",1793,210,523,212,560,129,554,104,156,82,2288,298,680,160,244,84,501,181,431,118,432,109,0,19
"41005024200","Census Tract 242; Clackamas County; Oregon",2616,338,749,296,775,250,921,244,171,120,3364,527,980,274,534,287,637,342,363,161,833,256,17,30
"41005024302","Census Tract 243.02; Clackamas County; Oregon",1955,264,407,159,781,246,620,205,147,104,2606,502,579,191,228,115,550,208,528,205,721,328,0,19
"41005024303","Census Tract 243.03; Clackamas County; Oregon",1420,282,467,163,514,267,376,113,63,43,1552,310,447,129,302,95,396,188,186,83,221,239,0,13
"41005024304","Census Tract 243.04; Clackamas County; Oregon",1058,189,368,143,424,121,200,85,66,45,1054,169,413,116,219,73,169,84,122,90,131,80,0,13
"41005024401","Census Tract 244.01; Clackamas County; Oregon",1383,204,370,174,396,148,535,157,82,61,1833,356,670,179,379,180,431,189,135,104,218,136,0,13
"41005024402","Census Tract 244.02; Clackamas County; Oregon",2426,272,668,215,959,275,703,239,96,84,2652,395,1499,345,164,81,598,261,117,125,261,178,13,22
"41005980000","Census Tract 9800; Clackamas County; Oregon",16,20,0,13,16,20,0,13,0,13,55,57,15,39,28,32,12,19,0,13,0,13,0,13
"41007950100","Census Tract 9501; Clatsop County; Oregon",1455,145,451,118,622,173,344,89,38,34,1474,190,648,164,351,127,235,111,112,68,123,68,5,10
"41007950200","Census Tract 9502; Clatsop County; Oregon",1765,201,498,90,733,164,470,192,64,42,1860,290,661,163,422,134,388,222,205,118,163,69,21,25
"41007950300","Census Tract 9503; Clatsop County; Oregon",1230,136,287,82,683,141,225,124,35,38,1369,260,493,121,280,118,354,140,114,113,122,65,6,10
"41007950400","Census Tract 9504; Clatsop County; Oregon",1296,131,503,112,370,99,281,85,142,57,1620,300,297,106,356,184,442,184,159,72,366,124,0,13
"41007950500","Census Tract 9505; Clatsop County; Oregon",2136,268,680,193,904,214,428,152,124,77,2370,316,664,219,526,190,652,229,178,76,347,164,3,5
"41007950600","Census Tract 9506; Clatsop County; Oregon",1167,138,336,110,337,121,336,118,158,71,1610,279,285,115,538,156,290,119,238,92,221,81,38,63
"41007950700","Census Tract 9507; Clatsop County; Oregon",1062,139,317,63,349,80,328,118,68,29,1201,220,487,102,213,105,303,110,88,34,110,49,0,13
"41007950900","Census Tract 9509; Clatsop County; Oregon",2668,359,1271,328,847,244,503,209,47,39,2179,330,398,181,650,222,637,228,180,104,314,160,0,13
"41007951100","Census Tract 9511; Clatsop County; Oregon",1896,248,719,191,685,197,412,115,80,57,2010,347,818,220,402,167,482,192,208,97,100,90,0,13
"41007951200","Census Tract 9512; Clatsop County; Oregon",1325,184,518,131,529,117,257,104,21,23,1188,229,362,119,254,101,189,73,242,114,141,118,0,13
"41007951300","Census Tract 9513; Clatsop County; Oregon",1246,197,395,98,434,186,388,133,29,32,1395,311,628,236,285,147,200,69,106,48,133,61,43,49
"41007990000","Census Tract 9900; Clatsop County; Oregon",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
"41009970201","Census Tract 9702.01; Columbia County; Oregon",1434,225,451,121,628,168,310,146,45,46,1372,308,296,115,258,161,324,139,224,118,270,98,0,13
"41009970202","Census Tract 9702.02; Columbia County; Oregon",1248,149,281,107,435,146,418,134,114,74,1557,280,344,180,293,114,403,174,146,74,371,149,0,13
"41009970300","Census Tract 9703; Columbia County; Oregon",1802,213,777,207,695,145,279,95,51,36,1411,219,401,122,177,78,263,96,209,80,361,114,0,13
"41009970400","Census Tract 9704; Columbia County; Oregon",935,161,353,76,222,66,272,128,88,44,973,212,360,163,110,43,207,57,122,57,174,75,0,13
"41009970500","Census Tract 9705; Columbia County; Oregon",2639,211,817,187,1076,197,564,156,182,101,2859,331,941,207,385,160,607,162,430,171,487,131,9,15
"41009970600","Census Tract 9706; Columbia County; Oregon",2411,291,676,175,758,181,609,139,368,258,3147,592,1153,227,231,133,698,225,307,155,758,504,0,19
"41009970700","Census Tract 9707; Columbia County; Oregon",1696,173,512,160,676,153,381,118,127,76,1913,293,372,145,490,127,380,123,202,100,469,181,0,13
"41009970800","Census Tract 9708; Columbia County; Oregon",2694,228,514,149,909,233,1017,211,254,134,3797,404,1156,292,1036,348,706,236,276,147,623,232,0,19
"41009970900","Census Tract 9709; Columbia County; Oregon",1984,212,660,182,472,184,708,161,144,77,2308,302,929,256,354,182,500,190,171,109,354,128,0,13
"41009971000","Census Tract 9710; Columbia County; Oregon",2050,173,486,118,786,165,509,128,269,104,2817,364,914,244,413,169,691,236,242,104,557,219,0,19
"41009971100","Census Tract 9711; Columbia County; Oregon",1442,133,409,87,548,140,411,100,74,49,1660,260,626,156,244,100,375,105,230,97,185,65,0,13
"41011000101","Census Tract 1.01; Coos County; Oregon",772,135,442,89,213,110,106,55,11,14,481,153,151,96,154,101,53,33,53,31,70,59,0,13
"41011000102","Census Tract 1.02; Coos County; Oregon",756,150,364,120,93,79,238,110,61,69,733,232,316,103,86,70,70,69,62,58,199,97,0,13
"41011000103","Census Tract 1.03; Coos County; Oregon",1046,192,386,141,315,106,345,135,0,13,1007,254,477,239,173,55,177,104,54,32,126,68,0,13
"41011000200","Census Tract 2; Coos County; Oregon",1083,114,446,121,220,83,298,127,119,72,1267,284,376,147,361,165,180,95,179,93,171,115,0,13
"41011000300","Census Tract 3; Coos County; Oregon",1479,180,460,126,512,141,344,139,163,83,1790,351,556,187,529,215,282,126,218,138,205,107,0,13
"41011000401","Census Tract 4.01; Coos County; Oregon",1176,138,300,108,466,107,329,115,81,68,1492,283,561,182,363,167,201,139,113,88,253,107,1,9
"41011000402","Census Tract 4.02; Coos County; Oregon",1657,221,584,179,736,275,305,112,32,48,1445,294,598,292,212,102,402,112,121,98,112,76,0,13
"41011000502","Census Tract 5.02; Coos County; Oregon",1133,151,513,122,333,124,247,94,40,40,1006,176,442,123,120,91,226,99,83,66,130,79,5,10
"41011000503","Census Tract 5.03; Coos County; Oregon",1287,216,410,117,409,216,320,134,148,92,1432,342,285,151,357,122,435,213,188,81,159,94,8,13
"41011000505","Census Tract 5.05; Coos County; Oregon",2008,262,1126,257,479,211,280,148,123,85,1480,384,114,83,543,237,357,160,30,35,421,276,15,26
"41011000506","Census Tract 5.06; Coos County; Oregon",837,124,259,127,298,108,233,96,47,55,932,196,194,104,328,117,202,90,164,103,44,39,0,13
"41011000600","Census Tract 6; Coos County; Oregon",1238,185,528,139,409,138,199,79,102,63,1174,228,429,156,271,95,253,108,92,58,129,78,0,13
"41011000701","Census Tract 7.01; Coos County; Oregon",1979,300,649,227,655,184,541,183,134,78,2171,345,736,237,597,204,323,149,162,104,353,130,0,13
"41011000702","Census Tract 7.02; Coos County; Oregon",1136,198,220,107,595,172,321,171,0,13,1345,341,180,95,518,237,453,205,124,81,70,68,0,13
"41011000800","Census Tract 8; Coos County; Oregon",1298,186,456,104,310,109,520,180,12,19,1379,333,412,161,293,131,287,135,225,125,162,99,0,13
"41011000901","Census Tract 9.01; Coos County; Oregon",1413,193,702,178,373,141,298,116,40,45,1082,231,316,150,326,123,169,81,130,89,141,76,0,13
"41011000902","Census Tract 9.02; Coos County; Oregon",1660,296,734,194,413,133,495,238,18,25,1319,354,376,210,333,235,258,114,84,74,268,161,0,13
"41011001001","Census Tract 10.01; Coos County; Oregon",1720,263,987,285,508,190,104,67,121,102,996,253,122,89,430,174,283,130,77,101,84,65,0,13
"41011001002","Census Tract 10.02; Coos County; Oregon",1746,237,1122,229,211,106,413,161,0,13,1052,302,324,143,318,194,247,115,67,66,96,86,0,13
"41011001101","Census Tract 11.01; Coos County; Oregon",1227,161,675,173,450,108,77,44,25,27,690,138,186,76,125,55,72,34,210,101,97,45,0,13
"41011001102","Census Tract 11.02; Coos County; Oregon",1424,151,723,138,473,116,198,64,30,24,980,131,280,99,219,106,203,78,139,67,139,52,0,13
"41011990101","Census Tract 9901.01; Coos County; Oregon",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
"41013950101","Census Tract 9501.01; Crook County; Oregon",1398,192,375,110,366,140,276,131,381,185,1951,468,771,317,243,170,438,160,247,141,252,168,0,13
"41013950102","Census Tract 9501.02; Crook County; Oregon",2004,204,657,190,834,220,449,181,64,76,2078,403,549,201,646,323,331,211,150,125,402,196,0,13
"41013950200","Census Tract 9502; Crook County; Oregon",2047,271,752,195,612,157,518,152,165,110,2141,375,576,188,476,169,259,107,323,123,507,200,0,19
"41013950301","Census Tract 9503.01; Crook County; Oregon",1549,234,425,172,532,211,539,230,53,42,1829,424,765,251,400,166,227,165,340,221,97,68,0,13
"41013950302","Census Tract 9503.02; Crook County; Oregon",1382,139,473,161,533,188,319,161,57,60,1413,293,327,154,263,122,292,186,166,89,365,143,0,13
"41013950401","Census Tract 9504.01; Crook County; Oregon",950,149,317,75,438,151,187,58,8,13,874,174,170,76,115,91,157,71,259,134,173,99,0,13
"41013950402","Census Tract 9504.02; Crook County; Oregon",961,152,424,95,328,130,188,102,21,33,739,192,279,122,52,47,148,72,184,96,76,58,0,13
"41015950100","Census Tract 9501; Curry County; Oregon",1633,194,1000,181,347,134,240,109,46,48,961,229,302,124,282,111,200,92,157,121,20,21,0,13
"41015950201","Census Tract 9502.01; Curry County; Oregon",1690,218,795,152,387,130,323,124,185,94,1514,325,452,184,311,119,386,167,262,140,103,61,0,13
"41015950202","Census Tract 9502.02; Curry County; Oregon",944,170,465,171,208,112,271,125,0,13,739,250,286,188,190,107,183,131,52,66,28,36,0,13
"41015950301","Census Tract 9503.01; Curry County; Oregon",2065,239,643,157,796,237,608,208,18,32,1907,348,526,226,585,234,331,178,305,202,160,93,0,13
"41015950302","Census Tract 9503.02; Curry County; Oregon",2377,243,903,208,771,229,643,243,60,62,2037,432,497,256,511,216,347,191,316,154,366,158,0,19
"41015950401","Census Tract 9504.01; Curry County; Oregon",1432,213,640,217,410,161,332,260,50,56,1128,440,498,347,215,117,236,115,92,92,87,96,0,13
"41015950402","Census Tract 9504.02; Curry County; Oregon",1007,124,782,117,131,81,94,82,0,13,339,193,139,92,56,59,78,96,29,33,35,62,2,4
"41015990101","Census Tract 9901.01; Curry County; Oregon",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
"41017000100","Census Tract 1; Deschutes County; Oregon",905,102,362,67,228,59,281,88,34,28,923,186,566,124,110,56,117,82,60,42,70,41,0,13
"41017000201","Census Tract 2.01; Deschutes County; Oregon",1099,175,460,131,417,134,197,88,25,26,895,204,285,136,132,65,116,59,194,111,168,74,0,13
"41017000202","Census Tract 2.02; Deschutes County; Oregon",1306,181,553,165,497,190,186,84,70,38,1067,201,449,146,156,47,326,106,86,78,50,67,0,13
"41017000301","Census Tract 3.01; Deschutes County; Oregon",1780,286,780,228,401,143,554,208,45,42,1723,424,678,237,208,92,516,239,185,116,136,102,0,13
"41017000302","Census Tract 3.02; Deschutes County; Oregon",2132,400,874,288,628,250,513,241,117,69,2123,392,597,236,578,184,257,143,317,123,326,194,48,54
"41017000401","Census Tract 4.01; Deschutes County; Oregon",2222,207,588,108,674,202,711,167,249,127,3067,483,1121,269,744,264,566,219,213,91,423,162,0,19
"41017000403","Census Tract 4.03; Deschutes County; Oregon",803,211,486,178,191,136,126,85,0,13,447,188,290,148,15,22,82,75,28,42,32,46,0,13
"41017000404","Census Tract 4.04; Deschutes County; Oregon",736,133,315,95,236,129,125,60,60,53,721,254,358,149,79,77,153,156,43,41,88,59,0,13
"41017000501","Census Tract 5.01; Deschutes County; Oregon",1235,204,632,186,234,96,323,101,46,64,1023,200,484,169,124,84,220,113,84,58,111,71,0,13
"41017000502","Census Tract 5.02; Deschutes County; Oregon",1931,311,710,288,707,241,398,120,116,61,1879,278,872,203,297,132,494,140,148,104,68,61,0,13
"41017000601","Census Tract 6.01; Deschutes County; Oregon",761,132,160,56,219,127,368,83,14,21,1037,213,416,124,157,106,202,111,153,156,109,94,0,13
"41017000602","Census Tract 6.02; Deschutes County; Oregon",992,133,352,135,289,104,334,88,17,25,1371,485,619,238,321,175,216,180,170,151,45,54,0,13
"41017000603","Census Tract 6.03; Deschutes County; Oregon",2087,286,1063,217,515,145,455,206,54,43,1620,382,828,230,163,107,390,246,107,83,132,104,0,13
"41017000701","Census Tract 7.01; Deschutes County; Oregon",1399,199,446,145,473,161,410,153,70,65,1574,321,512,247,279,178,323,136,218,134,242,117,0,13
"41017000702","Census Tract 7.02; Deschutes County; Oregon",1787,248,461,163,524,195,629,246,173,128,2497,461,901,437,602,221,526,300,295,212,123,107,50,83
"41017000800","Census Tract 8; Deschutes County; Oregon",2935,285,854,180,1078,305,773,211,230,142,3583,543,1349,481,626,199,840,321,323,142,445,249,0,19
"41017000901","Census Tract 9.01; Deschutes County; Oregon",1884,200,353,131,897,243,500,166,134,83,2403,391,588,205,519,166,554,191,305,196,437,171,0,19
"41017000902","Census Tract 9.02; Deschutes County; Oregon",1085,113,154,96,562,167,299,109,70,55,1441,209,535,151,312,138,189,115,224,140,181,102,0,13
"41017001002","Census Tract 10.02; Deschutes County; Oregon",1010,126,381,111,272,90,306,89,51,28,1121,197,622,165,137,49,101,47,62,44,199,85,0,13
"41017001003","Census Tract 10.03; Deschutes County; Oregon",2052,191,529,185,681,270,672,197,170,140,2598,423,1093,277,382,253,634,223,153,110,336,190,0,19
"41017001004","Census Tract 10.04; Deschutes County; Oregon",2787,308,468,177,637,211,1541,393,141,100,4402,682,1387,430,606,275,1318,535,834,362,257,165,0,19
"41017001005","Census Tract 10.05; Deschutes County; Oregon",1973,400,874,403,479,255,528,266,92,86,1844,448,848,231,401,221,266,198,76,66,253,258,0,13
"41017001101","Census Tract 11.01; Deschutes County; Oregon",2499,333,483,213,1074,363,738,237,204,118,3302,524,1548,461,515,258,626,223,252,158,361,181,0,19
"41017001102","Census Tract 11.02; Deschutes County; Oregon",2199,294,620,157,540,222,756,246,283,151,2995,698,1466,421,340,186,744,250,213,180,232,176,0,19
"41017001200","Census Tract 12; Deschutes County; Oregon",3336,437,975,399,1000,231,1082,230,279,137,4217,501,1614,300,593,239,1196,340,375,256,439,191,0,19
"41017001301","Census Tract 13.01; Deschutes County; Oregon",2457,260,717,237,776,233,749,236,215,124,3115,614,2095,515,304,242,526,303,0,19,190,200,0,19
"41017001302","Census Tract 13.02; Deschutes County; Oregon",3459,404,1173,333,1123,292,1034,268,129,87,3723,557,1841,371,875,351,710,295,133,81,164,101,0,19
"41017001401","Census Tract 14.01; Deschutes County; Oregon",2586,273,844,238,977,242,661,171,104,86,2586,389,1487,282,372,175,569,218,58,73,100,94,0,19
"41017001402","Census Tract 14.02; Deschutes County; Oregon",637,130,70,54,265,124,276,118,26,39,873,212,639,199,141,80,86,61,0,13,7,13,0,13
"41017001501","Census Tract 15.01; Deschutes County; Oregon",1854,244,528,261,554,176,732,184,40,42,2219,375,764,208,587,321,455,182,107,69,306,135,0,13
"41017001502","Census Tract 15.02; Deschutes County; Oregon",1244,248,275,103,572,212,338,157,59,66,1449,390,731,255,276,148,372,165,31,38,39,41,0,13
"41017001601","Census Tract 16.01; Deschutes County; Oregon",2083,270,608,182,719,219,638,211,118,83,2501,451,1142,239,295,173,660,349,234,155,170,154,0,13
"41017001602","Census Tract 16.02; Deschutes County; Oregon",957,139,325,89,209,85,386,161,37,26,1179,287,440,183,261,207,284,144,122,89,72,55,0,13
"41017001701","Census Tract 17.01; Deschutes County; Oregon",2472,289,748,256,937,226,689,230,98,73,2605,426,1064,308,443,198,580,171,243,113,275,118,0,19
"41017001702","Census Tract 17.02; Deschutes County; Oregon",1502,179,317,144,576,195,482,122,127,85,2065,352,692,239,493,200,444,198,278,145,103,75,55,88
"41017001801","Census Tract 18.01; Deschutes County; Oregon",2284,290,717,244,826,234,558,190,183,103,2542,391,910,240,417,171,768,249,225,168,222,147,0,13
"41017001802","Census Tract 18.02; Deschutes County; Oregon",1967,332,622,174,719,269,504,217,122,89,2262,526,736,214,610,260,528,247,290,214,98,66,0,19
"41017001901","Census Tract 19.01; Deschutes County; Oregon",734,167,169,55,342,170,191,50,32,20,810,152,346,91,191,120,109,41,103,61,61,35,0,13
"41017001903","Census Tract 19.03; Deschutes County; Oregon",2636,299,684,155,787,243,791,280,374,184,3689,676,1241,352,629,278,1281,490,418,240,120,100,0,19
"41017001904","Census Tract 19.04; Deschutes County; Oregon",1825,289,542,136,516,146,555,222,212,218,2212,693,870,260,523,288,453,246,79,71,287,198,0,13
"41017002001","Census Tract 20.01; Deschutes County; Oregon",640,175,262,62,157,101,204,125,17,26,652,304,475,285,31,28,47,33,39,59,60,72,0,13
"41017002002","Census Tract 20.02; Deschutes County; Oregon",3689,327,597,136,1545,344,1293,239,254,117,5293,559,2044,386,1077,344,1218,313,320,170,634,235,0,19
"41017002101","Census Tract 21.01; Deschutes County; Oregon",2026,338,505,214,621,289,764,232,136,68,2582,459,922,286,462,214,661,298,160,98,377,163,0,13
